Date,Open,High,Low,Close,Adj Close,Volume,Return,DailyRV
1/3/1950,16.66,16.66,16.66,16.66,16.66,1260000,0,
1/4/1950,16.85,16.85,16.85,16.85,16.85,1890000,0,0
1/5/1950,16.93,16.93,16.93,16.93,16.93,2550000,0,0
1/6/1950,16.98,16.98,16.98,16.98,16.98,2010000,0,0
1/9/1950,17.08,17.08,17.08,17.08,17.08,2520000,0,0
1/10/1950,17.030001,17.030001,17.030001,17.030001,17.030001,2160000,0,0
1/11/1950,17.09,17.09,17.09,17.09,17.09,2630000,0,0
1/12/1950,16.76,16.76,16.76,16.76,16.76,2970000,0,0
1/13/1950,16.67,16.67,16.67,16.67,16.67,3330000,0,0
1/16/1950,16.719999,16.719999,16.719999,16.719999,16.719999,1460000,0,0
1/17/1950,16.860001,16.860001,16.860001,16.860001,16.860001,1790000,0,0
1/18/1950,16.85,16.85,16.85,16.85,16.85,1570000,0,0
1/19/1950,16.870001,16.870001,16.870001,16.870001,16.870001,1170000,0,0
1/20/1950,16.9,16.9,16.9,16.9,16.9,1440000,0,0
1/23/1950,16.92,16.92,16.92,16.92,16.92,1340000,0,0
1/24/1950,16.860001,16.860001,16.860001,16.860001,16.860001,1250000,0,0
1/25/1950,16.74,16.74,16.74,16.74,16.74,1700000,0,0
1/26/1950,16.73,16.73,16.73,16.73,16.73,1150000,0,0
1/27/1950,16.82,16.82,16.82,16.82,16.82,1250000,0,0
1/30/1950,17.02,17.02,17.02,17.02,17.02,1640000,0,0
1/31/1950,17.049999,17.049999,17.049999,17.049999,17.049999,1690000,0,0
2/1/1950,17.049999,17.049999,17.049999,17.049999,17.049999,1810000,0,0
2/2/1950,17.23,17.23,17.23,17.23,17.23,2040000,0,0
2/3/1950,17.290001,17.290001,17.290001,17.290001,17.290001,2210000,0,0
2/6/1950,17.32,17.32,17.32,17.32,17.32,1490000,0,0
2/7/1950,17.23,17.23,17.23,17.23,17.23,1360000,0,0
2/8/1950,17.209999,17.209999,17.209999,17.209999,17.209999,1470000,0,0
2/9/1950,17.280001,17.280001,17.280001,17.280001,17.280001,1810000,0,0
2/10/1950,17.24,17.24,17.24,17.24,17.24,1790000,0,0
2/14/1950,17.059999,17.059999,17.059999,17.059999,17.059999,2210000,0,0
2/15/1950,17.059999,17.059999,17.059999,17.059999,17.059999,1730000,0,0
2/16/1950,16.99,16.99,16.99,16.99,16.99,1920000,0,0
2/17/1950,17.15,17.15,17.15,17.15,17.15,1940000,0,0
2/20/1950,17.200001,17.200001,17.200001,17.200001,17.200001,1420000,0,0
2/21/1950,17.17,17.17,17.17,17.17,17.17,1260000,0,0
2/23/1950,17.209999,17.209999,17.209999,17.209999,17.209999,1310000,0,0
2/24/1950,17.280001,17.280001,17.280001,17.280001,17.280001,1710000,0,0
2/27/1950,17.280001,17.280001,17.280001,17.280001,17.280001,1410000,0,0
2/28/1950,17.219999,17.219999,17.219999,17.219999,17.219999,1310000,0,0
3/1/1950,17.24,17.24,17.24,17.24,17.24,1410000,0,0
3/2/1950,17.23,17.23,17.23,17.23,17.23,1340000,0,0
3/3/1950,17.290001,17.290001,17.290001,17.290001,17.290001,1520000,0,0
3/6/1950,17.32,17.32,17.32,17.32,17.32,1470000,0,0
3/7/1950,17.200001,17.200001,17.200001,17.200001,17.200001,1590000,0,0
3/8/1950,17.190001,17.190001,17.190001,17.190001,17.190001,1360000,0,0
3/9/1950,17.07,17.07,17.07,17.07,17.07,1330000,0,0
3/10/1950,17.09,17.09,17.09,17.09,17.09,1260000,0,0
3/13/1950,17.120001,17.120001,17.120001,17.120001,17.120001,1060000,0,0
3/14/1950,17.25,17.25,17.25,17.25,17.25,1140000,0,0
3/15/1950,17.450001,17.450001,17.450001,17.450001,17.450001,1830000,0,0
3/16/1950,17.49,17.49,17.49,17.49,17.49,2060000,0,0
3/17/1950,17.450001,17.450001,17.450001,17.450001,17.450001,1600000,0,0
3/20/1950,17.440001,17.440001,17.440001,17.440001,17.440001,1430000,0,0
3/21/1950,17.450001,17.450001,17.450001,17.450001,17.450001,1400000,0,0
3/22/1950,17.549999,17.549999,17.549999,17.549999,17.549999,2010000,0,0
3/23/1950,17.559999,17.559999,17.559999,17.559999,17.559999,2020000,0,0
3/24/1950,17.559999,17.559999,17.559999,17.559999,17.559999,1570000,0,0
3/27/1950,17.459999,17.459999,17.459999,17.459999,17.459999,1930000,0,0
3/28/1950,17.530001,17.530001,17.530001,17.530001,17.530001,1780000,0,0
3/29/1950,17.440001,17.440001,17.440001,17.440001,17.440001,2090000,0,0
3/30/1950,17.299999,17.299999,17.299999,17.299999,17.299999,2370000,0,0
3/31/1950,17.290001,17.290001,17.290001,17.290001,17.290001,1880000,0,0
4/3/1950,17.530001,17.530001,17.530001,17.530001,17.530001,1570000,0,0
4/4/1950,17.549999,17.549999,17.549999,17.549999,17.549999,2010000,0,0
4/5/1950,17.629999,17.629999,17.629999,17.629999,17.629999,1430000,0,0
4/6/1950,17.780001,17.780001,17.780001,17.780001,17.780001,2000000,0,0
4/10/1950,17.85,17.85,17.85,17.85,17.85,2070000,0,0
4/11/1950,17.75,17.75,17.75,17.75,17.75,2010000,0,0
4/12/1950,17.940001,17.940001,17.940001,17.940001,17.940001,2010000,0,0
4/13/1950,17.98,17.98,17.98,17.98,17.98,2410000,0,0
4/14/1950,17.959999,17.959999,17.959999,17.959999,17.959999,2750000,0,0
4/17/1950,17.879999,17.879999,17.879999,17.879999,17.879999,2520000,0,0
4/18/1950,18.030001,18.030001,18.030001,18.030001,18.030001,3320000,0,0
4/19/1950,18.049999,18.049999,18.049999,18.049999,18.049999,2950000,0,0
4/20/1950,17.93,17.93,17.93,17.93,17.93,2590000,0,0
4/21/1950,17.959999,17.959999,17.959999,17.959999,17.959999,2710000,0,0
4/24/1950,17.83,17.83,17.83,17.83,17.83,2310000,0,0
4/25/1950,17.83,17.83,17.83,17.83,17.83,1830000,0,0
